group3,nic_div,workers_m
214,46,0.00464120875
214,47,0.007511149999999999
214,49,0.012904682499999999
214,50,0.00350329625
214,52,0.008814491249999999
214,60,0.00231189125
214,61,0.018761194999999998
214,62,0.13699222125
214,64,0.0021081374999999997
214,66,0.0024341199999999997
214,68,0.00067848125
214,71,0.05721720625
214,72,0.0036977487499999994
214,74,0.00232856125
214,81,0.00164965875
214,84,0.06718653249999999
214,85,0.0019498312499999998
214,86,0.00226524
214,94,0.0019027049999999998
215,7,0.0196964675
215,10,0.00024447375
215,22,0.00765132375
215,23,0.0097448675
215,24,0.00791859
215,26,0.03731884125
215,27,0.04705780125
215,28,0.012769397499999998
215,30,0.00633290875
215,32,0.00666697375
215,33,0.005477383749999999
215,35,0.0460128825
215,42,0.00192151375
215,43,0.00697807375
215,50,0.00279221875
215,55,0.00113569875
215,58,0.0008307812499999999
215,59,0.00909295625
215,61,0.0034846225
215,62,0.017139784999999998
215,63,0.0020049762499999998
215,71,0.006395806249999999
215,73,0.0036430399999999997
215,84,0.0198873325
215,86,0.0025936487499999997
215,95,0.00452221125
216,5,0.0007470075
216,13,0.012003937499999999
216,14,0.012651011249999998
216,17,0.0049791525
216,18,0.016958568749999996
216,21,0.0013051574999999999
216,23,0.00414066125
216,24,0.0032919250000000002
216,25,0.00210914125
216,26,0.021874670000000002
216,27,0.0009841175
216,28,0.0011024799999999999
216,31,0.0008415975
216,32,0.0012047249999999998
216,35,0.001385485
216,38,0.00105295125
216,41,0.03485600125
216,42,0.00958762625
216,43,0.01329790625
216,47,0.00105295125
216,49,0.00036657375
216,58,0.002788535
216,59,0.009183123750000001
216,62,0.08175747375
216,63,0.0213352625
216,71,0.10906964
216,73,0.01257545625
216,74,0.19187924625
216,82,0.00159238375
216,84,0.02107735
216,88,0.0006991425
216,90,0.00946193375
221,24,0.0008726574999999999
221,38,0.0054617675
221,75,0.00774785
221,84,0.0040060975
221,85,0.00065737125
221,86,0.80934241125
221,87,0.0032974437499999998
222,24,0.0006126549999999999
222,84,0.00386688625
222,85,0.010159122500000001
222,86,0.58483872125
222,87,0.00918526625
223,21,0.003165715
223,33,0.0071074175
223,46,0.00710885625
223,47,0.0022511712499999996
223,86,0.09452348
224,21,0.0011850250000000001
224,35,0.0078279875
224,75,0.0002389875
224,85,0.00168024
224,86,0.1642503525
225,75,0.11121023875
225,86,0.00183148125
226,10,0.0030513075
226,21,0.026360871249999997
226,46,0.00352828625
226,47,0.0070959325
226,52,0.00233153375
226,75,0.0042204925
226,84,0.013442747500000001
226,85,0.00117825625
226,86,0.47186168375
226,87,0.00131231625
231,78,0.0026493000000000003
231,85,1.0749597450000001
232,84,0.00172342875
232,85,0.128722095
233,85,3.2829686187499996
233,97,0.027232404999999998
234,84,0.00749834
234,85,5.2744829125
234,88,0.0087524825
234,94,0.00397718375
234,96,0.019849949999999998
234,97,0.03400134875
235,13,0.00010483750000000001
235,43,0.00211812125
235,59,0.00531611875
235,62,0.00228162125
235,78,0.00053773625
235,84,0.006585816249999999
235,85,1.1710758262499998
235,86,0.014648011249999999
235,87,0.00079190625
235,90,0.00844746125
235,93,0.00148193125
235,94,0.01534776625
235,96,0.02700206875
235,97,0.2480552875
241,1,0.003826945
241,3,0.00137031375
241,5,0.00394478
241,8,0.0041797075
241,9,0.0012147362499999998
241,10,0.01359394625
241,11,0.0046174375
241,13,0.03323557875
241,14,0.03864106
241,16,0.0042590875
241,17,0.010806934999999998
241,18,0.0095054775
241,19,0.0009184612500000001
241,20,0.018052118750000002
241,21,0.02464204
241,22,0.016309075
241,23,0.04303612625
